type,dataset,slot_time,instance_number,month,energy_instance_reference,energy_production_function,exec_time,status,obj_value,obj_bound
HEURISTIC_MEDIAN_24_LAD,B,96,4,Jul,2,linear,0:02:10.008909,OPTIMAL,125703211298,0
HEURISTIC_MEDIAN_24_LAD,B,96,4,Jul,2,quadratic,0:03:47.614631,OPTIMAL,125684608820,0
HEURISTIC_MEDIAN_24_LAD,B,96,4,Sep,2,constant,0:02:32.343086,OPTIMAL,125691752871,0
HEURISTIC_MEDIAN_24_LAD,B,96,4,Sep,2,exponential,0:02:13.372565,OPTIMAL,125706181291,0
HEURISTIC_MEDIAN_24_LAD,B,96,4,Sep,2,linear,0:02:24.979043,OPTIMAL,125722858196,0
HEURISTIC_MEDIAN_24_LAD,B,96,4,Sep,2,quadratic,0:02:23.174563,OPTIMAL,125703224041,0
HEURISTIC_MEDIAN_24_LAD,B,96,5,Dec,2,constant,0:04:47.832448,OPTIMAL,125813062172,0
HEURISTIC_MEDIAN_24_LAD,B,96,5,Dec,2,linear,0:01:58.531954,OPTIMAL,126070073381,0
HEURISTIC_MEDIAN_24_LAD,B,96,5,Dec,2,quadratic,0:01:57.183247,OPTIMAL,126024023605,0
HEURISTIC_MEDIAN_24_LAD,B,96,5,Jul,2,constant,0:01:55.542396,OPTIMAL,126050368791,0
HEURISTIC_MEDIAN_24_LAD,B,96,5,Jul,2,linear,0:02:31.084345,OPTIMAL,125947804758,0
HEURISTIC_MEDIAN_24_LAD,B,96,5,Jul,2,quadratic,0:01:56.882755,OPTIMAL,126070380404,0
HEURISTIC_MEDIAN_24_LAD,B,96,5,Sep,2,constant,0:02:15.484839,OPTIMAL,126050961923,0
HEURISTIC_MEDIAN_24_LAD,B,96,5,Sep,2,exponential,0:02:54.402922,OPTIMAL,126072832815,0
HEURISTIC_MEDIAN_24_LAD,B,96,5,Sep,2,linear,0:01:55.103126,OPTIMAL,126022654024,0
HEURISTIC_MEDIAN_24_LAD,B,96,5,Sep,2,quadratic,0:01:55.971561,OPTIMAL,126140708825,0
HEURISTIC_MEDIAN_24_LSD,B,96,1,Dec,2,constant,0:04:47.002788,OPTIMAL,125495879894,0
HEURISTIC_MEDIAN_24_LSD,B,96,1,Dec,2,exponential,0:04:34.857274,OPTIMAL,125581269387,0
HEURISTIC_MEDIAN_24_LSD,B,96,1,Dec,2,linear,0:04:26.562145,OPTIMAL,125484047263,0
